Value,Date
35609,14/11/2023
36471,13/11/2023
37183,12/11/2023
36994,11/11/2023
36609,10/11/2023
36556,09/11/2023
35596,08/11/2023
35547,07/11/2023
35031,06/11/2023
34638,05/11/2023
34784,04/11/2023
34617,03/11/2023
34929,02/11/2023
35307,01/11/2023
34651,31/10/2023
34464,30/10/2023
34588,29/10/2023
34143,28/10/2023
33842,27/10/2023
34187,26/10/2023
34666,25/10/2023
33647,24/10/2023
31574,23/10/2023
29854,22/10/2023
30017,21/10/2023
29582,20/10/2023
28724,19/10/2023
28254,18/10/2023
28464,17/10/2023
28351,16/10/2023
27203,15/10/2023
26852,14/10/2023
26957,13/10/2023
26738,12/10/2023
26714,11/10/2023
27399,10/10/2023
27574,09/10/2023
27938,08/10/2023
27935,07/10/2023
28006,06/10/2023
27468,05/10/2023
27654,04/10/2023
27396,03/10/2023
27838,02/10/2023
27115,01/10/2023
27072,30/09/2023
26899,29/09/2023
27087,28/09/2023
26239,27/09/2023
26148,26/09/2023
26294,25/09/2023
26520,24/09/2023
26621,23/09/2023
26537,22/09/2023
26605,21/09/2023
27068,20/09/2023
27182,19/09/2023
26764,18/09/2023
26453,17/09/2023
26523,16/09/2023
26396,15/09/2023
26552,14/09/2023
26232,13/09/2023
26059,12/09/2023
25086,11/09/2023
25835,10/09/2023
25867,09/09/2023
25896,08/09/2023
25987,07/09/2023
25676,06/09/2023
25700,05/09/2023
25822,04/09/2023
26066,03/09/2023
25853,02/09/2023
25764,01/09/2023
25996,31/08/2023
27243,30/08/2023
27596,29/08/2023
25971,28/08/2023
26085,26/08/2023
26027,25/08/2023
26066,24/08/2023
25996,23/08/2023
26598,22/08/2023
25845,21/08/2023
26113,20/08/2023
26047.05,19/08/2023
26662.05,18/08/2023
28701.48,17/08/2023
29169.09,16/08/2023
29413.8,15/08/2023
29283.84,14/08/2023
29412.84,13/08/2023
29399.18,12/08/2023
29433.98,11/08/2023
29565.82,10/08/2023
29768.29,09/08/2023
29181.71,08/08/2023
29041.01,07/08/2023
29048.01,06/08/2023
29075,05/08/2023
29183.41,04/08/2023
29152.45,03/08/2023
29683.61,02/08/2023
29228.49,01/08/2023
29274.94,31/07/2023
29359.89,30/07/2023
29316.12,29/07/2023
29213.94,28/07/2023
29344.56,27/07/2023
29226.18,26/07/2023
29178.42,25/07/2023
30081.88,24/07/2023
29774.36,23/07/2023
29907.88,22/07/2023
29802.29,21/07/2023
29912.48,20/07/2023
29859.24,19/07/2023
30144.2,18/07/2023
30240.28,17/07/2023
30291.67,16/07/2023
30330.22,15/07/2023
31485.37,14/07/2023
30391.64,13/07/2023
30622.7,12/07/2023
30411.71,11/07/2023
30214.55,10/07/2023
30214.55,09/07/2023
30344.53,08/07/2023
29918.04,07/07/2023
30502.55,06/07/2023
30774.87,05/07/2023
31150.92,04/07/2023
30618.25,03/07/2023
30591.53,02/07/2023
30471.5,01/07/2023
30449.16,30/06/2023
30083.59,29/06/2023
30699.11,28/06/2023
30266.7,27/06/2023
30458.97,26/06/2023
30548.59,25/06/2023
30692.8,24/06/2023
29903.73,23/06/2023
29992.98,22/06/2023
28326.8,21/06/2023
26848.8,20/06/2023
26337.08,19/06/2023
26509.82,18/06/2023
26326.23,17/06/2023
25575.69,16/06/2023
25127.04,15/06/2023
25921.42,14/06/2023
25904.32,13/06/2023
25933.06,12/06/2023
25852.82,11/06/2023
26483.52,10/06/2023
26507.33,09/06/2023
26352.2,08/06/2023
27243.64,07/06/2023
25747.2,06/06/2023
27125.02,05/06/2023
27073.27,04/06/2023
27251.93,03/06/2023
26814.77,02/06/2023
27213.71,01/06/2023
27704,31/05/2023
27744.66,30/05/2023
28082.7,29/05/2023
26873.18,28/05/2023
26719.74,27/05/2023
26477.29,26/05/2023
26327.38,25/05/2023
27223.19,24/05/2023
26849.97,23/05/2023
26756.57,22/05/2023
27124.48,21/05/2023
26889.6,20/05/2023
26833.27,19/05/2023
27398.27,18/05/2023
27036.39,17/05/2023
27191.97,16/05/2023
26926.17,15/05/2023
26785.94,14/05/2023
26803.05,13/05/2023
26993.2,12/05/2023
27617.14,11/05/2023
27640.09,10/05/2023
27691.41,09/05/2023
28456.84,08/05/2023
28903.41,07/05/2023
29535.38,06/05/2023
28851.84,05/05/2023
29007.66,04/05/2023
28678.29,03/05/2023
28086.65,02/05/2023
29264.14,01/05/2023
29244.68,30/04/2023
29329.63,29/04/2023
29480.35,28/04/2023
28429.72,27/04/2023
28301.71,26/04/2023
27516.48,25/04/2023
27590.55,24/04/2023
27816.18,23/04/2023
27267.99,22/04/2023
28243.02,21/04/2023
28829.57,20/04/2023
30393.64,19/04/2023
29447.1,18/04/2023
30315.39,17/04/2023
30319.32,16/04/2023
30486.05,15/04/2023
30407.6,14/04/2023
29899.24,13/04/2023
30234.98,12/04/2023
29656.24,11/04/2023
28336.18,10/04/2023
27956.01,09/04/2023
27925.55,08/04/2023
28039.94,07/04/2023
28180.4,06/04/2023
28169.5,05/04/2023
27802.23,04/04/2023
28185.2,03/04/2023
28465.04,02/04/2023
28479.75,01/04/2023
28033.06,31/03/2023
28355.92,30/03/2023
27274.72,29/03/2023
27141.23,28/03/2023
27999.84,27/03/2023
27496.06,26/03/2023
27496.2,25/03/2023
28332.42,24/03/2023
27306.32,23/03/2023
28191.53,22/03/2023
27790.89,21/03/2023
28045.84,20/03/2023
26975.39,19/03/2023
27462.77,18/03/2023
25053.64,17/03/2023
24376.39,16/03/2023
24767.46,15/03/2023
24213.74,14/03/2023
22205.32,13/03/2023
20656.78,12/03/2023
20224.85,11/03/2023
20363.36,10/03/2023
21698.33,09/03/2023
22197.49,08/03/2023
22410.62,07/03/2023
22427.56,06/03/2023
22348.51,05/03/2023
22351.72,04/03/2023
23467.36,03/03/2023
23641.68,02/03/2023
23128.3,01/03/2023
23497.62,28/02/2023
23563.11,27/02/2023
23176.76,26/02/2023
23192.02,25/02/2023
23946.39,24/02/2023
24185.67,23/02/2023
24438.1,22/02/2023
24834.81,21/02/2023
24290.18,20/02/2023
24641.94,19/02/2023
24572.97,18/02/2023
23544.67,17/02/2023
24340.73,16/02/2023
22211.8,15/02/2023
21787.99,14/02/2023
21787.25,13/02/2023
21861.84,12/02/2023
21638.55,11/02/2023
21794.05,10/02/2023
22964.87,09/02/2023
