Date,Value
10/04/2024,"70,023"
09/04/2024,"68,995"
08/04/2024,"71,671"
07/04/2024,"69,080"
06/04/2024,"68,282"
05/04/2024,"67,433"
04/04/2024,"68,445"
03/04/2024,"65,872"
02/04/2024,"66,081"
01/04/2024,"69,717"
31/03/2024,"71,024"
30/03/2024,"69,946"
29/03/2024,"69,689"
28/03/2024,"70,857"
27/03/2024,"68,641"
26/03/2024,"69,438"
25/03/2024,"71,010"
24/03/2024,"65,840"
23/03/2024,"64,890"
22/03/2024,"63,958"
21/03/2024,"65,320"
20/03/2024,"65,693"
19/03/2024,"64,421"
18/03/2024,"66,959"
17/03/2024,"68,517"
16/03/2024,"66,916"
15/03/2024,"68,859"
14/03/2024,"69,303"
13/03/2024,"73,463"
12/03/2024,"71,395"
11/03/2024,"72,021"
10/03/2024,"69,530"
09/03/2024,"68,512"
08/03/2024,"69,294"
07/03/2024,"67,755"
06/03/2024,"67,139"
05/03/2024,"61,909"
04/03/2024,"67,710"
03/03/2024,"62,794"
02/03/2024,"61,947"
01/03/2024,"63,053"
29/02/2024,"62,074"
28/02/2024,"60,312"
27/02/2024,"56,989"
26/02/2024,"54,479"
25/02/2024,"51,738"
24/02/2024,"51,510"
23/02/2024,"51,101"
22/02/2024,"51,963"
21/02/2024,"50,978"
20/02/2024,"52,018"
