rank,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
0,Bitcoin BTC,25873.73,504072772255,8246477405,0.13,-0.22,-12.37,68692.14,-62
1,Ethereum ETH,1616.45,194332915611,4487404823,-0.57,-1.17,-12.83,4864.11,-67
2,Tether USDT,0.99989,83007494569,14926793236,0.01,0.01,-0.05,1.21549,-18
3,BNB BNB,212.452,32685499531,312196991,-0.15,-0.9,-11.97,690.568,-69
4,XRP XRP,0.49595,26326677230,543910733,-0.69,-2.64,-20.99,3.84194,-87
5,USD Coin USDC,1.00013,26179346728,2122742497,0.01,0.01,-0.1,1.90620,-48
6,Cardano ADA,0.24845,8718663246,103133976,0.03,-3.1,-14.85,3.09503,-92
7,Dogecoin DOGE,0.06145,8661193569,195205593,-0.65,-2.68,-19.91,0.75287,-92
8,Solana SOL,18.3929,7555384523,428680818,-0.5,-6.5,-8.92,259.705,-92
9,TRON TRX,0.07878,7030587391,117808222,0.2,2.3,1.6,0.30036,-74
10,Toncoin TON,1.70979,5867808544,18739754,-2.3,-11.19,10.08,15.3746,-90
11,Dai DAI,1.00058,5350992417,60026891,0.08,0.12,-0.1,1.36678,-27
12,Polkadot DOT,4.12649,5044530246,96073956,-1.12,-3.23,-18.22,440.042,-99
13,Polygon MATIC,0.52270,4871332946,182010728,-0.6,-3.92,-23.52,2.91460,-82
14,Litecoin LTC,61.4721,4526835265,223524843,-0.68,-4.23,-26.52,412.701,-85
15,SHIBA INU SHIB,0.00001,4331147460,83218577,-1.01,-4.79,-31.95,0.00009,-92
16,Wrapped Bitcoin WBTC,25841.58,4211524968,119494970,0.06,-0.45,-12.42,68705.97,-62
17,Bitcoin Cash BCH,190.757,3719910617,117457449,1.13,-2.07,-16.78,4355.62,-96
18,Stellar XLM,0.13311,3660609767,134685237,3.24,8.92,-3.36,0.93814,-86
19,UNUS SED LEO LEO,3.84669,3574935128,481363,0.3,4.91,-4.07,8.11487,-52
20,Avalanche AVAX,9.48760,3355828307,82765427,-0.15,-4.11,-23.34,145.665,-93
21,Chainlink LINK,6.02556,3242351818,121053600,-1.04,-0.56,-19.64,53.0122,-89
22,TrueUSD TUSD,0.99879,3184393008,294789484,-0.07,0.04,-0.25,1.36449,-27
23,Monero XMR,143.441,2629301635,35687487,0.33,0.98,-9.56,519.759,-72
24,Binance USD BUSD,1.00025,2584272903,622171147,-0.01,0.03,-0.04,1.17612,-15
25,OKB OKB,41.7886,2507313064,1560504,0.09,-1.59,-11.47,58.7128,-29
26,Uniswap UNI,4.24044,2448856294,50384185,0.04,-4.13,-31.68,45.0125,-91
27,Cosmos ATOM,6.62373,2410012745,79834809,-1.14,-2.8,-21.38,44.5529,-85
28,Ethereum Classic ETC,15.1394,2163943503,60326663,0.51,-1.48,-14.58,167.082,-91
29,Hedera HBAR,0.04756,1579464331,22227232,-1.05,-1.01,-15.06,0.56614,-92
30,Filecoin FIL,3.11674,1392049268,76851083,-0.94,-2.62,-24.71,236.965,-99
31,Internet Computer ICP,3.09103,1371574885,15611661,-1.95,-5.16,-24.01,342.229,-99
32,Lido DAO Token LDO,1.49206,1325588113,25951898,-0.18,-2.48,-19.49,6.95936,-79
33,Mantle MNT,0.40955,1324637688,18404336,-0.32,-9.54,-12.63,0.60340,-32
34,Cronos CRO,0.05141,1298708351,11396644,-0.95,-0.04,-9.72,0.95855,-95
35,Aptos APT,5.16289,1187358929,73900098,-1.96,-6.51,-6.97,0.33342,-100
36,Quant QNT,97.5532,1177734023,10744961,-0.58,-1.47,-3.87,426.180,-77
37,VeChain VET,0.01524,1107963569,20848534,-0.71,-2.31,-15.51,9.55167,-100
38,Maker MKR,1121.89,1096790152,53057528,0.83,2.11,-8.67,6302.63,-82
39,NEAR Protocol NEAR,1.14506,1078265817,43837924,0.41,1.25,-14.61,20.3955,-94
40,Arbitrum ARB,0.83950,1070367747,141505422,-3.6,-7.76,-67.48,0.05006,-99
41,Optimism OP,1.27382,1017170565,53043782,1.42,-5.22,-18.18,3.26732,-61
42,Aave AAVE,53.9983,784904714,45807076,-1.36,-1.61,-18.54,666.029,-92
